match_id,Season,match_date,match_month_name,gameweek,home_team,away_team,home_goals,away_goals,goal_diff,total_goals,match_status,is_derby,is_season_complete
2015000,2015-2016,10/20/2015,October,1,El Dakhlia,El Mokawloon,2,0,2,2,HomeWin,FALSE,TRUE
2015001,2015-2016,10/20/2015,October,1,Enppi SC,Harras Hodoud,2,2,0,4,Tie,FALSE,TRUE
2015002,2015-2016,10/21/2015,October,1,Ittihad Alex,Aswan SC,1,0,1,1,HomeWin,FALSE,TRUE
2015003,2015-2016,10/21/2015,October,1,Ismaily,Entag El Harby,2,0,2,2,HomeWin,FALSE,TRUE
2015004,2015-2016,10/21/2015,October,1,Zamalek,Wadi Degla,2,0,2,2,HomeWin,FALSE,TRUE
2015005,2015-2016,10/22/2015,October,1,El Mahalla,Smouha,0,1,-1,1,AwayWin,FALSE,TRUE
2015006,2015-2016,10/22/2015,October,1,El Makasa,El Shorta,1,1,0,2,Tie,FALSE,TRUE
2015007,2015-2016,10/22/2015,October,1,Petrojet,El Masry,1,3,-2,4,AwayWin,FALSE,TRUE
2015008,2015-2016,10/22/2015,October,1,Talaea El Gaish,Ahly SC,0,1,-1,1,AwayWin,FALSE,TRUE
2015009,2015-2016,10/24/2015,October,2,Harras Hodoud,El Dakhlia,0,1,-1,1,AwayWin,FALSE,TRUE
2015010,2015-2016,10/24/2015,October,2,Entag El Harby,Ittihad Alex,0,1,-1,1,AwayWin,FALSE,TRUE
2015011,2015-2016,10/24/2015,October,2,El Mokawloon,Ismaily,0,0,0,0,Tie,FALSE,TRUE
2015012,2015-2016,10/25/2015,October,2,Smouha,Petrojet,0,3,-3,3,AwayWin,FALSE,TRUE
2015013,2015-2016,10/25/2015,October,2,Aswan SC,Zamalek,0,0,0,0,Tie,FALSE,TRUE
2015014,2015-2016,10/25/2015,October,2,El Masry,El Makasa,1,1,0,2,Tie,FALSE,TRUE
2015015,2015-2016,10/25/2015,October,2,Ahly SC,El Mahalla,2,0,2,2,HomeWin,FALSE,TRUE
2015016,2015-2016,10/26/2015,October,2,El Shorta,Enppi SC,0,0,0,0,Tie,FALSE,TRUE
2015017,2015-2016,10/26/2015,October,2,Wadi Degla,Talaea El Gaish,3,3,0,6,Tie,FALSE,TRUE
2015018,2015-2016,10/31/2015,October,3,El Mahalla,Wadi Degla,0,2,-2,2,AwayWin,FALSE,TRUE
2015019,2015-2016,10/31/2015,October,3,Enppi SC,El Masry,2,1,1,3,HomeWin,FALSE,TRUE
2015020,2015-2016,10/31/2015,October,3,El Makasa,Smouha,2,0,2,2,HomeWin,FALSE,TRUE
2015021,2015-2016,10/31/2015,October,3,Ittihad Alex,El Mokawloon,1,1,0,2,Tie,FALSE,TRUE
2015022,2015-2016,10/31/2015,October,3,Zamalek,Entag El Harby,2,1,1,3,HomeWin,FALSE,TRUE
2015023,2015-2016,11/1/2015,November,3,Talaea El Gaish,Aswan SC,1,1,0,2,Tie,FALSE,TRUE
2015024,2015-2016,11/1/2015,November,3,El Shorta,Harras Hodoud,1,1,0,2,Tie,FALSE,TRUE
2015025,2015-2016,11/1/2015,November,3,Petrojet,Ahly SC,0,1,-1,1,AwayWin,FALSE,TRUE
2015026,2015-2016,11/1/2015,November,3,Ismaily,El Dakhlia,0,1,-1,1,AwayWin,FALSE,TRUE
2015027,2015-2016,11/4/2015,November,4,El Mokawloon,Zamalek,1,2,-1,3,AwayWin,FALSE,TRUE
2015028,2015-2016,11/5/2015,November,4,Smouha,Enppi SC,1,1,0,2,Tie,FALSE,TRUE
2015029,2015-2016,11/5/2015,November,4,Ahly SC,El Makasa,0,1,-1,1,AwayWin,FALSE,TRUE
2015030,2015-2016,11/7/2015,November,4,El Dakhlia,Ittihad Alex,2,0,2,2,HomeWin,FALSE,TRUE
2015031,2015-2016,11/7/2015,November,4,El Masry,El Shorta,1,0,1,1,HomeWin,FALSE,TRUE
2015032,2015-2016,11/7/2015,November,4,Harras Hodoud,Ismaily,0,4,-4,4,AwayWin,FALSE,TRUE
2015033,2015-2016,11/7/2015,November,4,Wadi Degla,Petrojet,3,0,3,3,HomeWin,FALSE,TRUE
2015034,2015-2016,11/8/2015,November,4,Aswan SC,El Mahalla,0,0,0,0,Tie,FALSE,TRUE
2015035,2015-2016,11/8/2015,November,4,Entag El Harby,Talaea El Gaish,2,1,1,3,HomeWin,FALSE,TRUE
2015036,2015-2016,11/12/2015,November,5,El Makasa,Wadi Degla,1,1,0,2,Tie,FALSE,TRUE
2015037,2015-2016,11/12/2015,November,5,Ittihad Alex,Ismaily,0,5,-5,5,AwayWin,FALSE,TRUE
2015038,2015-2016,11/12/2015,November,5,Talaea El Gaish,El Mokawloon,2,1,1,3,HomeWin,FALSE,TRUE
2015039,2015-2016,11/15/2015,November,5,Petrojet,Aswan SC,1,1,0,2,Tie,FALSE,TRUE
2015040,2015-2016,11/15/2015,November,5,El Mahalla,Entag El Harby,0,1,-1,1,AwayWin,FALSE,TRUE
2015041,2015-2016,11/15/2015,November,5,El Masry,Harras Hodoud,3,2,1,5,HomeWin,FALSE,TRUE
2015042,2015-2016,11/19/2015,November,5,El Shorta,Smouha,0,2,-2,2,AwayWin,FALSE,TRUE
2015043,2015-2016,1/5/2016,January,5,Zamalek,El Dakhlia,2,0,2,2,HomeWin,FALSE,TRUE
