match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2018000,Emmanuel Banahene,,Home,,Unknown,
2018000,Taher Mohamed,,Away,Karim Mostafa,Pass,
2018002,Hussein Ragab,,Home,,Unknown,
2018002,Ibrahima Ndiaye,,Away,Mohamed Ashraf,Penalty,1.0
2018003,Mohamed Ragab,,Home,Ahmed Shedid Kenawi,Corner,
2018003,Mostafa Gamal,,Away,Ahmed Felix,Penalty,1.0
2018003,Solomon Okuruket,,Home,Mahmoud Hamada,Pass,
2018005,Mohamed Koffi,,Away,Amr Moussa,Cross,
2018006,Lassad Jaziri,,Away,Nader Ramadan,Pass,
2018006,Mohamed Sherif,,Home,Walid Azaro,Unknown,
2018007,Benson Shilongo,,Away,Amir Abed,Unknown,
2018007,Ahmed Manga,,Away,Oumed Oukri,Unknown,1.0
2018007,Mohamed Ramadan,,Home,Mahmoud Wahid,Corner,
2018008,Afsha,,Away,,Unknown,
2018009,Kahraba,,Home,Ibrahim Hassan,Unknown,
2018009,Youssef Obama,,Home,Kahraba,Cross,
2018009,Mahmoud Alaa,,Home,Kahraba,Penalty,1.0
2018009,Khaled Kamar,,Away,Khaled El Ghandour,Cross,
2018009,Kabongo Kasongo,,Home,Youssef Obama,Cross,
2018009,Mohamed Antar,,Home,Mahmoud Genesh,Unknown,
2018010,Mostafa Gamal,,Home,Isaac Muleme,Penalty,1.0
2018010,Abdallah Gomaa Awad,1.0,Away,Ibrahim Aboul-Yazid,Free kick,
2018010,Hossam Paulo,,Away,Hussein Ragab,Cross,
2018012,Islam Roshdi,,Away,Mahmoud Shabrawy,Cross,
2018012,Mahmoud Shabrawy,,Away,Ahmed Magdy,Pass,
2018012,Mahmoud Shabrawy,,Away,Islam Roshdi,Pass,
2018012,Osama Azab,,Home,Elsayed Salem,Free kick,
2018013,Salif Coulibaly,,Away,Ali Maâloul,Cross,
2018013,Walid Azaro,,Away,Ahmed Fathi,Pass,
2018014,Mohamed Ragab,,Away,Body,Pass,
2018014,Keno,,Home,Ribamar,Pass,
2018015,Ahmed Ali,,Home,Luis Hinestroza,Penalty,1.0
2018015,Riga,,Away,,Unknown,
2018015,John Antwi,,Away,Mahmoud Wahid,Cross,
2018017,Hamdy Fathy,,Away,Mohamed Shika,Unknown,
2018017,Noah Sadaoui,,Away,Hamdy Fathy,Unknown,
2018017,Noah Sadaoui,,Away,Mohamed Shika,Unknown,
2018018,Wahab Ahadzi,,Away,Body,Corner,
2018019,Islam Roshdi,,Home,Ahmed Magdy,Pass,
2018019,Mohamed El Shebini,,Away,Isaac Muleme,Corner,
2018020,Hossam Hassan,,Away,Yasser Ibrahim,Pass,
2018020,Mohamed Bassiouny,,Home,Mahmoud Kaoud,Cross,
2018020,Sayed Farid,,Away,Mahmoud Moaaz,Corner,
2018020,Arafa El Sayed,,Home,Emad Fathi,Pass,
2018020,Mahmoud Sayed,,Away,Derrick Nsibambi,Unknown,
2018021,Islam Issa,,Away,Mohamed Grendo,Pass,
2018021,Mohamed Vieira Sanogo,,Home,Shemeles Bekele,Unknown,
2018021,Ahmed Gomaa,,Away,Ahmed Gouda,Cross,
2018021,Mohamed Vieira Sanogo,,Home,Ahmed Sobhi,Pass,
