match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2019000,1,2019-09-21,3:00 PM,0:1,Talaea El Gaish,El Mokawloon,Sat,0,1,AwayWin,2019-2020
2019001,1,2019-09-21,5:30 PM,0:1,El Gouna,Ismaily,Sat,0,1,AwayWin,2019-2020
2019002,1,2019-09-21,8:00 PM,4:0,Pyramids FC,Enppi SC,Sat,4,0,HomeWin,2019-2020
2019003,1,2019-09-22,3:00 PM,2:3,Aswan SC,El Makasa,Sun,2,3,AwayWin,2019-2020
2019004,1,2019-09-22,5:30 PM,0:1,Wadi Degla,Tanta SC,Sun,0,1,AwayWin,2019-2020
2019005,1,2019-09-22,,3:0,Entag El Harby,FC Masr,Sun,3,0,HomeWin,2019-2020
2019006,1,2019-09-22,8:00 PM,1:1,El Masry,Harras Hodoud,Sun,1,1,Tie,2019-2020
2019007,1,2019-09-23,5:30 PM,0:1,Smouha,Ahly SC,Mon,0,1,AwayWin,2019-2020
2019008,1,2019-09-23,8:00 PM,1:0,Zamalek,Ittihad Alex,Mon,1,0,HomeWin,2019-2020
2019009,2,2019-09-26,4:00 PM,2:2,Harras Hodoud,Wadi Degla,Thu,2,2,Tie,2019-2020
2019010,2,2019-09-26,8:00 PM,1:1,Enppi SC,Talaea El Gaish,Thu,1,1,Tie,2019-2020
2019011,2,2019-09-28,5:30 PM,0:0,FC Masr,Aswan SC,Sat,0,0,Tie,2019-2020
2019012,2,2019-09-28,,2:2,El Mokawloon,Smouha,Sat,2,2,Tie,2019-2020
2019013,2,2019-10-01,5:30 PM,1:0,Ittihad Alex,El Gouna,Tue,1,0,HomeWin,2019-2020
2019014,2,2019-10-02,5:30 PM,1:3,Ismaily,El Masry,Wed,1,3,AwayWin,2019-2020
2019015,2,2019-10-02,8:00 PM,4:0,Ahly SC,Entag El Harby,Wed,4,0,HomeWin,2019-2020
2019016,2,2019-10-03,3:00 PM,1:2,Tanta SC,Pyramids FC,Thu,1,2,AwayWin,2019-2020
2019017,2,2019-10-03,8:00 PM,0:1,El Makasa,Zamalek,Thu,0,1,AwayWin,2019-2020
